sku,attribute_set_code,product_type,categories,product_websites,name,short_description,product_online,tax_class_name,visibility,price,url_key,meta_title,meta_keywords,new_from_date,new_to_date,is_in_stock,qty
1038032,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Zaštite za ekran",base,"Zaštita ekrana 5D Glass za Samsung J7 MAX zlatna ","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",6.90,1038032,"Zaštita ekrana 5D Glass za Samsung J7 MAX zlatna ","Zaštita,ekrana,5D,Glass,za,Samsung,J7,MAX,zlatna,",5/13/2019,6/13/2019,1,14
1038033,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Zaštite za ekran",base,"Zaštita ekrana 5D Glass za Xiaomi Y1/Y1LITE/REDMI NOTE 5A crna ","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",4.90,1038033,"Zaštita ekrana 5D Glass za Xiaomi Y1/Y1LITE/REDMI NOTE 5A crna ","Zaštita,ekrana,5D,Glass,za,Xiaomi,Y1/Y1LITE/REDMI,NOTE,5A,crna,",5/13/2019,6/13/2019,1,34
1038034,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Zaštite za ekran",base,"Zaštita ekrana 5D Glass za Xiaomi Y1/Y1LITE/REDMI NOTE 5A bijela ","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",4.90,1038034,"Zaštita ekrana 5D Glass za Xiaomi Y1/Y1LITE/REDMI NOTE 5A bijela ","Zaštita,ekrana,5D,Glass,za,Xiaomi,Y1/Y1LITE/REDMI,NOTE,5A,bijela,",5/11/2019,6/11/2019,1,12
1038035,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Zaštite za ekran",base,"Zaštita ekrana 5D Glass za Xiaomi MI A1/5X crna ","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",6.90,1038035,"Zaštita ekrana 5D Glass za Xiaomi MI A1/5X crna ","Zaštita,ekrana,5D,Glass,za,Xiaomi,MI,A1/5X,crna,",5/13/2019,6/13/2019,1,22
1038036,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Zaštite za ekran",base,"Zaštita ekrana 5D Glass za Xiaomi MI A1/5X bijela ","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",6.90,1038036,"Zaštita ekrana 5D Glass za Xiaomi MI A1/5X bijela ","Zaštita,ekrana,5D,Glass,za,Xiaomi,MI,A1/5X,bijela,",5/13/2019,6/13/2019,1,38
1038037,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Zaštite za ekran",base,"Zaštita ekrana 5D Glass za One Plus 5T crna ","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",13.90,1038037,"Zaštita ekrana 5D Glass za One Plus 5T crna ","Zaštita,ekrana,5D,Glass,za,One,Plus,5T,crna,",5/11/2019,6/11/2019,1,4
1038038,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Zaštite za ekran",base,"Zaštita ekrana 5D Glass za One Plus 5 crna ","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",7.90,1038038,"Zaštita ekrana 5D Glass za One Plus 5 crna ","Zaštita,ekrana,5D,Glass,za,One,Plus,5,crna,",5/11/2019,6/11/2019,1,1
1038039,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Zaštite za ekran",base,"Zaštita ekrana za Samsung S9 full ljepilo","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",7.90,1038039,"Zaštita ekrana za Samsung S9 full ljepilo","Zaštita,ekrana,za,Samsung,S9,full,ljepilo",5/13/2019,6/13/2019,1,71
1038040,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Zaštite za ekran",base,"Zaštita ekrana za Samsung S9 Plus full ljepilo","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",7.90,1038040,"Zaštita ekrana za Samsung S9 Plus full ljepilo","Zaštita,ekrana,za,Samsung,S9,Plus,full,ljepilo",5/13/2019,6/13/2019,1,69
1038041,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Zaštite za ekran",base,"Zaštita ekrana 5D Glass AG Matte za iPhone X ","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",19.90,1038041,"Zaštita ekrana 5D Glass AG Matte za iPhone X ","Zaštita,ekrana,5D,Glass,AG,Matte,za,iPhone,X,",5/11/2019,6/11/2019,1,3
1038042,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Zaštite za ekran",base,"Zaštitno staklo kamere za Samsung S9","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",5.00,1038042,"Zaštitno staklo kamere za Samsung S9","Zaštitno,staklo,kamere,za,Samsung,S9",5/13/2019,6/13/2019,1,46
1038043,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Zaštite za ekran",base,"Zaštitno staklo kamere za Samsung S9 Plus ","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",5.00,1038043,"Zaštitno staklo kamere za Samsung S9 Plus ","Zaštitno,staklo,kamere,za,Samsung,S9,Plus,",5/13/2019,6/13/2019,1,42
1038044,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Zaštite za ekran",base,"Zaštitno staklo kamere za iPhone X","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",5.00,1038044,"Zaštitno staklo kamere za iPhone X","Zaštitno,staklo,kamere,za,iPhone,X",5/13/2019,6/13/2019,1,35
1038045,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Zaštite za ekran",base,"Zaštita ekrana za Sasmung S9 zakrivljeno ljepilo okolo","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",6.90,1038045,"Zaštita ekrana za Sasmung S9 zakrivljeno ljepilo okolo","Zaštita,ekrana,za,Sasmung,S9,zakrivljeno,ljepilo,okolo",5/13/2019,6/13/2019,1,58
1038046,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Zaštite za ekran",base,"Zaštita ekrana za Sasmung S9 Plus zakrivljeno ljepilo okolo","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",6.90,1038046,"Zaštita ekrana za Sasmung S9 Plus zakrivljeno ljepilo okolo","Zaštita,ekrana,za,Sasmung,S9,Plus,zakrivljeno,ljepilo,okolo",5/13/2019,6/13/2019,1,41
1038047,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Zaštite za ekran",base,"UV zaštitno staklo za Samsung G950 Galaxy S8","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",18.90,1038047,"UV zaštitno staklo za Samsung G950 Galaxy S8","UV,zaštitno,staklo,za,Samsung,G950,Galaxy,S8",5/16/2019,6/16/2019,1,136
1038048,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Zaštite za ekran",base,"UV zaštitno staklo za Samsung G955 Galaxy S8 Plus","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",17.90,1038048,"UV zaštitno staklo za Samsung G955 Galaxy S8 Plus","UV,zaštitno,staklo,za,Samsung,G955,Galaxy,S8,Plus",8/3/2019,9/3/2019,1,109
1038049,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Zaštite za ekran",base,"UV zaštitno staklo za Samsung S9 ","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",23.90,1038049,"UV zaštitno staklo za Samsung S9 ","UV,zaštitno,staklo,za,Samsung,S9,",5/11/2019,6/11/2019,1,5
